Cod_Producto,Bombona,Cod_Contenido,ContenidoFuente,Cod_UnidadFuente,UnidadFuenteLegacy,CantidadFuenteLegacy,M3GasResultado,PesoNetoKgResultado
338,"Oxigeno Industrial B20 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",7.597000,6.400000,7.600000
339,"Oxigeno Industrial B30 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",5.698000,4.800000,5.700000
340,"Oxigeno Industrial B30 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",7.549000,6.360000,7.550000
341,"Oxigeno Industrial B30 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",11.395000,9.600000,11.400000
342,"Oxigeno Industrial B40 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",7.597000,6.400000,7.600000
343,"Oxigeno Industrial B40 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",10.066000,8.480000,10.070000
344,"Oxigeno Industrial B40 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",15.194000,12.800000,15.190000
345,"Oxigeno Industrial B5 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",0.950000,0.800000,0.950000
346,"Oxigeno Industrial B5 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.258000,1.060000,1.260000
347,"Oxigeno Industrial B5 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.899000,1.600000,1.900000
348,"Oxigeno Industrial B50 / 150BAR",378,"Oxigeno Liquido - LOX",2,"Litros",9.496000,8.000000,9.500000
349,"Oxigeno Industrial B50 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",12.582000,10.600000,12.580000
350,"Oxigeno Industrial B50 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",18.992000,16.000000,18.990000
351,"Oxigeno Industrial B7 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",1.762000,1.480000,1.760000
352,"Oxigeno Industrial B7 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",2.659000,2.240000,2.660000
353,"Oxigeno Industrial B80 / 200BAR",378,"Oxigeno Liquido - LOX",2,"Litros",20.132000,16.960000,20.130000
354,"Oxigeno Industrial B80 / 300BAR",378,"Oxigeno Liquido - LOX",2,"Litros",30.387000,25.600000,30.390000
206,"Aire Sintético Comprimido B30 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",8.552000,8.910000,10.970000
207,"Aire Sintético Comprimido B40 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",11.403000,11.880000,14.620000
200,"Aire Sintético Comprimido B5 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.425000,1.490000,1.830000
208,"Aire Sintético Comprimido B50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",14.254000,14.850000,18.280000
201,"Aire Sintético Comprimido B7 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.996000,2.080000,2.560000
209,"Aire Sintético Comprimido B80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",22.806000,23.760000,29.240000
346,"IG541 (Ar 40%, N2 52%, CO2 8%) 12*50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",84.296000,136.800000,196.960000
361,"IG541 (Ar 40%, N2 52%, CO2 8%) 12*50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",126.444000,205.200000,478.000000
348,"IG541 (Ar 40%, N2 52%, CO2 8%) 12*80 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",134.874000,218.880000,315.140000
363,"IG541 (Ar 40%, N2 52%, CO2 8%) 12*80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",202.311000,328.320000,764.810000
347,"IG541 (Ar 40%, N2 52%, CO2 8%) 16*50 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",112.395000,182.400000,262.620000
362,"IG541 (Ar 40%, N2 52%, CO2 8%) 16*50 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",168.592000,273.600000,637.340000
364,"IG541 (Ar 40%, N2 52%, CO2 8%) 16*80 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",269.748000,437.760000,1019.740000
338,"IG541 (Ar 40%, N2 52%, CO2 8%) B10 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.405000,2.280000,3.280000
353,"IG541 (Ar 40%, N2 52%, CO2 8%) B10 / 300BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",2.107000,3.420000,7.970000
339,"IG541 (Ar 40%, N2 52%, CO2 8%) B14 / 200BAR",379,"Nitrogeno Liquido - LIN",2,"Litros",1.967000,3.190000,4.600000
